Team,Season,Games,PA,AB,PPG,H,2B,3B,HR,TB,RBI,DB,CS,BB,HBP,IBB,SO,GDP,SH,SF,AVG,OBP,SLG,OPS,wOBA,wRC+,GP,CG,Shout out,Starting,Win,Lose,Save,Hold,Inning,R,ER,Batters Faced,HPG,HRPG,BBPG,IBBPG,HBPPG,KPG,Balk,WPPG,ERA,FIP,WHIP,ERA+,FIP+,RPG,WAR
Doosan,23,144,5535,4858,4.31,1236,208,32,100,1808,565,133,48,504,76,24,974,90,56,41,0.254,0.331,0.372,0.704,0.327,99.9,660,0,0,144,74,67,41,70,1284.2,625,561,5582,8.65,0.62,3.49,0.08,0.56,7.03,3,0.42,3.93,4.11,1.36,103.6,98.5,4.34,41.41
Doosan,22,144,5510,4892,4.43,1249,210,12,101,1786,592,90,40,450,71,16,1007,116,53,44,0.255,0.324,0.365,0.689,0.318,97.5,670,0,0,144,60,82,32,68,1279.1,721,634,5700,9.27,0.81,3.85,0.08,0.49,6.78,5,0.49,4.46,4.44,1.48,89.2,89.4,5.01,26.93
Doosan,21,144,5645,4900,5.12,1314,235,17,110,1913,698,81,37,560,86,13,943,137,46,53,0.268,0.35,0.39,0.741,0.346,107.5,658,2,1,144,71,65,28,61,1269.1,656,601,5631,8.99,0.72,4.08,0.11,0.51,7.26,7,0.36,4.26,4.27,1.48,101.2,101.1,4.56,47.370000000000005
Doosan,20,144,5773,5043,5.67,1476,263,20,125,2154,776,88,37,551,68,20,796,132,38,73,0.293,0.365,0.427,0.792,0.359,114.0,656,1,0,144,78,61,23,43,1284.2,695,628,5676,9.67,0.76,3.31,0.15,0.42,7.26,4,0.36,4.4,4.24,1.46,105.4,109.3,4.83,52.03
Doosan,19,144,5669,4912,5.11,1364,235,31,84,1913,692,102,38,562,73,16,799,117,39,83,0.278,0.355,0.389,0.745,0.344,109.9,621,3,0,144,88,55,44,69,1283.2,550,501,5434,8.74,0.54,2.64,0.15,0.49,5.97,5,0.34,3.51,3.85,1.28,116.4,105.9,3.82,51.74
Doosan,18,144,5870,5176,6.56,1601,284,30,191,2518,898,96,23,496,92,16,1016,112,43,63,0.309,0.376,0.486,0.862,0.372,119.8,615,1,0,144,93,51,41,56,1288.2,756,716,5700,9.73,1.07,3.31,0.12,0.76,7.12,2,0.5,5.0,5.12,1.46,101.1,98.4,5.25,57.15
Doosan,17,144,5833,5102,5.9,1499,270,20,178,2343,812,69,33,541,95,19,960,120,48,47,0.294,0.369,0.459,0.828,0.364,116.5,590,3,2,144,84,57,35,46,1288.0,678,627,5682,9.76,0.87,3.22,0.08,0.6,6.64,4,0.38,4.38,4.77,1.45,109.9,101.2,4.71,56.230000000000004
Doosan,16,144,5841,5044,6.49,1504,284,25,183,2387,877,85,45,600,86,11,884,121,43,68,0.298,0.378,0.473,0.851,0.379,116.8,579,2,2,144,93,50,36,55,1287.2,682,638,5658,9.62,0.94,3.46,0.05,0.53,6.82,4,0.46,4.46,4.96,1.46,114.6,101.0,4.74,59.74
Doosan,15,144,5759,4957,5.6,1436,254,22,140,2154,770,111,47,567,99,24,820,139,75,60,0.29,0.37,0.435,0.804,0.358,112.1,623,3,2,144,79,65,30,57,1286.0,776,719,5762,9.62,0.96,4.06,0.1,0.53,7.39,11,0.52,5.03,4.86,1.53,93.2,96.0,5.39,45.98
Doosan,14,128,5083,4427,5.37,1299,235,26,108,1910,646,111,44,468,64,10,731,103,81,43,0.293,0.366,0.431,0.798,0.356,104.7,564,4,0,128,59,68,19,61,1123.2,733,679,5066,10.24,0.95,3.52,0.03,0.45,6.56,4,0.44,5.44,5.11,1.57,90.9,98.3,5.73,43.83
Doosan,13,128,5142,4401,5.46,1271,217,37,95,1847,654,172,61,524,79,19,717,105,82,56,0.289,0.37,0.42,0.79,0.363,114.5,537,1,0,128,71,54,30,42,1150.1,625,584,5043,9.24,0.66,4.02,0.0,0.59,6.62,6,0.43,4.57,4.36,1.48,93.1,97.5,4.88,51.97
Doosan,12,133,4938,4379,3.94,1139,172,26,59,1540,490,116,51,362,54,12,659,129,102,40,0.26,0.322,0.352,0.673,0.313,91.9,513,9,3,133,68,62,38,47,1193.1,519,475,5012,7.92,0.5,3.69,0.13,0.43,6.03,4,0.43,3.58,3.81,1.29,106.8,100.3,3.9,43.379999999999995
Hanhwa,23,144,5628,4906,4.19,1184,211,12,100,1719,570,67,22,535,88,21,1162,103,59,40,0.241,0.325,0.35,0.675,0.316,90.7,753,0,0,144,58,80,20,68,1291.2,708,628,5682,8.97,0.7,3.59,0.16,0.72,7.2,7,0.51,4.38,4.24,1.4,94.9,97.8,4.92,29.82
Hanhwa,22,144,5513,4877,3.92,1197,217,19,88,1716,520,93,49,497,52,13,1264,92,46,40,0.245,0.319,0.352,0.671,0.311,89.7,749,1,0,144,46,95,25,81,1268.1,759,679,5710,9.13,0.78,4.18,0.27,0.58,6.76,4,0.45,4.82,4.48,1.51,84.0,91.1,5.27,20.18
Hanhwa,21,144,5495,4687,4.16,1111,213,17,80,1598,554,110,56,632,75,14,1286,110,53,48,0.237,0.334,0.341,0.675,0.32,87.6,717,1,0,144,49,83,21,62,1258.2,739,654,5672,8.39,0.8,4.67,0.16,0.7,7.02,11,0.39,4.68,4.7,1.49,93.7,94.8,5.13,21.85
Hanhwa,20,144,5483,4862,3.83,1189,195,12,79,1645,523,51,36,462,89,9,1163,119,45,25,0.245,0.32,0.338,0.658,0.306,76.9,705,1,1,144,46,95,21,54,1265.0,820,744,5756,9.72,1.1,4.23,0.15,0.55,7.08,5,0.53,5.29,5.15,1.59,89.3,93.1,5.69,16.71
Hanhwa,19,144,5482,4882,4.22,1249,223,16,88,1768,562,105,51,441,70,12,1090,112,44,45,0.256,0.324,0.362,0.686,0.317,92.0,649,2,0,144,58,86,28,43,1268.2,737,679,5655,9.77,0.83,3.65,0.06,0.5,6.49,4,0.46,4.82,4.55,1.52,86.0,91.6,5.12,26.41
Hanhwa,18,144,5539,4972,5.06,1369,249,14,151,2099,668,118,64,420,88,17,1098,113,31,28,0.275,0.341,0.422,0.763,0.335,89.1,685,0,0,144,77,67,37,62,1274.0,761,701,5637,9.68,1.14,3.28,0.06,0.62,7.81,7,0.54,4.95,5.04,1.47,107.0,105.9,5.28,32.09
Hanhwa,17,144,5665,5030,5.12,1445,261,16,150,2188,684,64,44,416,94,15,974,112,85,38,0.287,0.351,0.435,0.786,0.344,96.8,634,1,0,144,61,81,31,49,1273.0,820,749,5698,10.24,1.15,3.1,0.09,0.69,6.35,4,0.53,5.3,5.25,1.51,95.0,96.4,5.69,31.16
Hanhwa,16,144,5838,5109,5.74,1478,242,27,142,2200,787,64,38,510,91,19,1025,123,87,41,0.289,0.362,0.431,0.792,0.355,95.6,680,1,0,144,66,75,24,39,1292.2,908,828,5937,10.56,1.08,4.4,0.16,0.53,6.78,6,0.5,5.76,5.44,1.67,91.1,96.5,6.31,30.61
Hanhwa,15,144,5713,4850,4.98,1316,218,19,130,1962,667,80,47,581,109,33,1133,112,139,35,0.271,0.36,0.405,0.764,0.34,89.9,672,5,3,144,68,76,32,44,1279.2,800,727,5771,9.37,1.09,4.5,0.26,0.67,6.39,9,0.59,5.11,5.43,1.56,97.4,90.9,5.56,27.59
Hanhwa,14,128,5055,4417,4.84,1251,223,24,104,1834,594,70,41,490,55,5,839,125,50,43,0.283,0.359,0.415,0.774,0.349,89.3,530,2,1,130,49,77,26,30,1129.0,889,800,5312,11.16,1.25,4.13,0.11,0.62,5.75,3,0.64,6.38,6.0,1.76,85.1,88.0,6.84,27.339999999999996
Hanhwa,13,128,4915,4271,3.75,1106,212,13,47,1485,448,70,49,479,80,11,933,140,54,30,0.259,0.343,0.348,0.69,0.327,89.8,538,2,0,128,42,85,22,34,1129.0,711,666,5073,9.34,0.77,4.16,0.0,0.74,6.42,8,0.7,5.31,4.69,1.53,81.7,92.6,5.55,28.21
Hanhwa,12,133,5057,4331,3.83,1077,208,12,71,1522,479,107,53,538,61,17,907,102,100,27,0.249,0.338,0.351,0.69,0.323,99.1,550,3,0,133,53,77,29,54,1172.1,647,593,5092,8.63,0.8,3.67,0.14,0.51,7.04,3,0.62,4.55,4.06,1.4,85.9,96.3,4.86,37.59
KIA,23,144,5606,4952,5.04,1364,224,21,101,1933,673,122,34,500,46,15,957,115,64,44,0.275,0.345,0.39,0.735,0.341,107.6,708,1,0,144,73,69,33,66,1269.0,650,583,5558,8.63,0.62,3.92,0.14,0.41,6.81,4,0.38,4.13,4.24,1.42,99.9,97.1,4.51,42.14
KIA,22,144,5703,5001,5.0,1362,250,19,113,1989,676,103,33,542,63,21,983,111,60,36,0.272,0.349,0.398,0.746,0.342,110.2,675,0,0,144,70,73,38,74,1279.2,679,599,5636,8.93,0.83,3.65,0.14,0.47,7.24,2,0.4,4.21,4.27,1.42,96.8,95.9,4.72,40.0
KIA,21,144,5577,4831,3.94,1198,183,21,66,1621,546,73,31,595,73,16,921,119,41,37,0.248,0.337,0.336,0.673,0.321,86.7,676,1,0,144,58,76,36,94,1269.0,752,693,5701,8.93,0.93,4.32,0.03,0.72,6.6,8,0.4,4.91,4.91,1.5,90.5,90.5,5.22,25.68
KIA,20,144,5637,4933,5.03,1353,224,13,130,1993,692,47,25,534,69,10,957,113,63,38,0.274,0.351,0.404,0.755,0.343,98.8,639,1,1,144,73,70,33,79,1269.1,795,725,5678,9.71,0.83,3.88,0.06,0.49,7.21,4,0.54,5.14,4.62,1.54,93.3,103.9,5.52,36.739999999999995
KIA,19,144,5505,4874,4.2,1286,248,19,76,1800,566,87,42,496,59,13,919,108,31,45,0.264,0.336,0.369,0.706,0.328,95.1,603,3,2,144,62,79,30,64,1264.0,723,655,5614,9.46,0.7,3.5,0.12,0.53,6.78,2,0.35,4.66,4.23,1.48,90.5,99.2,5.02,31.730000000000004
KIA,18,144,5744,5036,6.01,1487,258,22,170,2299,823,88,37,503,99,27,905,135,56,50,0.295,0.367,0.457,0.824,0.357,107.2,575,4,0,144,70,74,26,43,1270.2,826,766,5708,10.49,1.26,3.09,0.19,0.48,7.06,3,0.45,5.43,5.23,1.54,94.6,98.6,5.74,43.57
KIA,17,144,5841,5142,6.29,1554,292,29,170,2414,868,76,34,499,89,19,891,118,55,56,0.302,0.37,0.469,0.84,0.367,113.1,582,5,2,144,87,56,33,46,1290.0,743,691,5748,10.54,0.95,3.01,0.15,0.53,6.84,4,0.48,4.82,4.73,1.51,103.1,105.5,5.16,50.56
KIA,16,144,5696,4999,5.58,1429,264,28,170,2259,754,101,50,499,87,12,997,109,66,45,0.286,0.358,0.452,0.81,0.36,99.6,635,7,1,144,70,73,38,74,1276.0,785,708,5771,10.11,0.91,3.9,0.12,0.41,6.7,7,0.48,4.99,5.03,1.58,103.7,103.8,5.45,41.03
KIA,15,144,5454,4777,4.5,1197,223,22,136,1872,602,115,50,454,101,16,1126,105,79,43,0.251,0.326,0.392,0.718,0.32,79.0,628,1,1,144,67,77,32,65,1273.0,739,679,5673,9.52,0.99,3.97,0.15,0.68,6.8,4,0.56,4.8,5.07,1.53,102.8,97.7,5.13,25.6
KIA,14,128,5023,4443,5.17,1279,246,27,121,1942,631,121,63,416,62,11,870,95,67,35,0.288,0.355,0.437,0.792,0.351,95.8,507,2,1,128,54,74,26,40,1121.2,788,735,5143,10.07,0.91,4.38,0.06,0.52,7.0,1,0.61,5.9,5.26,1.65,88.5,100.6,6.16,36.95
KIA,13,128,5051,4318,4.59,1125,195,13,88,1610,545,141,47,537,75,8,864,110,78,42,0.261,0.349,0.373,0.722,0.337,96.9,551,2,0,128,51,74,32,50,1142.1,711,650,5200,10.21,0.69,4.16,0.0,0.59,7.21,6,0.57,5.12,4.33,1.61,83.8,99.1,5.55,36.39
KIA,12,133,5131,4348,4.16,1112,197,19,54,1509,518,132,51,544,60,18,790,100,132,47,0.256,0.343,0.347,0.69,0.321,98.1,535,11,6,133,62,65,27,33,1183.2,564,513,5101,8.73,0.52,3.4,0.1,0.51,6.18,6,0.42,3.9,3.76,1.36,96.9,100.6,4.24,43.89
Kiwoom,23,144,5729,5064,4.22,1323,224,30,61,1790,576,54,11,484,74,21,1096,87,49,58,0.261,0.331,0.353,0.685,0.321,94.2,683,1,0,144,58,83,33,61,1288.1,710,633,5704,9.3,0.58,3.69,0.12,0.44,6.68,7,0.39,4.42,4.14,1.45,92.9,98.3,4.93,31.71
Kiwoom,22,144,5655,4953,4.31,1249,203,33,94,1800,577,63,20,527,92,26,1032,89,49,34,0.252,0.333,0.363,0.697,0.322,99.4,649,2,1,144,80,62,48,84,1296.1,610,548,5579,8.67,0.67,3.41,0.12,0.48,7.01,1,0.35,3.8,4.0,1.34,105.1,98.9,4.24,44.17
Kiwoom,21,144,5644,4867,5.0,1259,244,28,90,1829,669,96,26,593,93,17,1051,93,35,56,0.259,0.347,0.376,0.723,0.34,100.0,629,1,1,144,69,67,30,56,1261.1,700,607,5591,8.88,0.7,3.93,0.19,0.56,6.22,4,0.41,4.33,4.43,1.46,102.4,98.1,4.86,36.16
Kiwoom,20,144,5721,4945,5.27,1332,254,25,127,2017,713,113,26,608,73,16,1030,107,43,52,0.269,0.355,0.408,0.762,0.347,104.3,730,0,0,144,80,63,42,81,1280.1,692,625,5556,9.28,0.88,3.1,0.11,0.51,6.6,7,0.35,4.39,4.53,1.39,107.4,102.6,4.81,45.2
Kiwoom,19,144,5658,4991,5.42,1405,252,37,112,2067,741,110,33,514,69,13,943,122,36,48,0.282,0.354,0.414,0.768,0.352,114.2,611,2,2,144,86,57,39,90,1279.0,572,512,5427,8.98,0.42,2.58,0.02,0.4,6.83,6,0.31,3.6,3.48,1.3,114.6,118.6,3.97,54.9
Kiwoom,18,144,5780,5141,5.73,1481,288,19,165,2302,787,101,33,472,85,25,1208,93,32,50,0.288,0.355,0.448,0.802,0.349,101.3,591,4,1,144,75,69,32,72,1282.0,780,723,5646,10.01,1.24,2.89,0.09,0.68,7.09,4,0.41,5.08,5.22,1.45,101.5,97.8,5.42,41.84
Kiwoom,17,144,5712,5098,5.48,1479,267,30,141,2229,748,70,34,468,83,15,1066,129,21,42,0.29,0.357,0.437,0.794,0.353,103.0,554,2,1,144,69,73,40,66,1271.0,764,714,5663,10.33,1.03,2.69,0.07,0.67,6.98,3,0.39,5.06,4.8,1.48,98.4,102.1,5.31,41.97
Kiwoom,16,144,5702,4990,5.65,1464,254,39,134,2198,765,154,83,556,63,17,956,121,34,59,0.293,0.368,0.44,0.808,0.364,100.8,608,0,0,144,77,66,38,74,1280.1,757,705,5684,10.33,1.06,3.02,0.02,0.47,6.22,3,0.35,4.96,5.11,1.5,106.0,101.4,5.26,45.04
Kiwoom,15,144,5811,5069,6.28,1512,304,20,203,2465,855,100,47,544,82,18,1098,112,61,55,0.298,0.372,0.486,0.858,0.376,115.4,587,1,1,144,78,65,29,44,1286.0,790,707,5709,9.75,1.01,3.6,0.05,0.56,7.4,4,0.59,4.95,4.81,1.5,100.6,103.2,5.49,49.17
Kiwoom,14,128,5163,4434,6.57,1323,275,31,199,2257,786,100,44,523,101,10,849,100,65,40,0.298,0.382,0.509,0.891,0.388,115.7,530,0,0,128,78,48,35,55,1131.2,716,668,5107,10.15,1.11,4.03,0.02,0.48,7.04,4,0.43,5.31,5.42,1.6,99.2,98.8,5.59,55.66
Kiwoom,13,128,5015,4294,5.05,1167,209,11,125,1773,607,131,65,505,98,12,912,94,76,42,0.272,0.358,0.413,0.771,0.355,109.1,541,0,0,128,72,54,50,70,1146.1,576,525,4996,9.06,0.59,3.93,0.0,0.66,6.72,3,0.41,4.12,4.24,1.45,105.7,102.9,4.5,51.2
Kiwoom,12,133,5021,4338,4.13,1056,189,28,102,1607,509,179,72,476,72,17,892,79,92,43,0.243,0.325,0.37,0.696,0.322,98.7,493,3,1,133,61,69,36,34,1187.1,551,505,5116,8.5,0.6,4.02,0.07,0.56,6.41,0,0.47,3.83,4.06,1.4,100.1,94.4,4.14,43.11
KT,23,144,5649,4973,4.67,1316,235,14,89,1846,621,87,30,524,48,13,1074,96,57,47,0.265,0.338,0.371,0.709,0.331,97.6,594,0,0,144,79,62,39,61,1287.0,616,565,5542,9.21,0.58,2.87,0.15,0.35,6.72,4,0.44,3.95,3.8,1.35,106.9,109.7,4.28,43.47
KT,22,144,5547,4864,4.38,1237,191,19,119,1823,588,89,34,519,49,21,1183,105,70,44,0.254,0.33,0.375,0.704,0.322,95.7,588,1,1,144,80,62,37,65,1287.1,562,509,5405,8.63,0.64,2.53,0.15,0.44,7.46,3,0.3,3.56,3.54,1.25,115.7,115.0,3.9,45.86
KT,21,144,5619,4802,4.99,1274,219,11,106,1833,675,112,46,645,58,27,1044,105,69,44,0.265,0.356,0.382,0.738,0.344,100.8,613,2,2,144,76,58,33,74,1262.2,582,516,5388,8.15,0.59,3.38,0.12,0.29,7.36,1,0.39,3.68,3.74,1.32,122.1,118.7,4.04,47.019999999999996
KT,20,144,5762,5047,5.65,1432,238,21,163,2201,767,106,50,554,52,20,1097,104,64,45,0.284,0.358,0.436,0.794,0.356,106.7,665,0,0,144,81,62,33,71,1290.1,715,654,5680,9.42,0.82,3.63,0.14,0.41,5.89,1,0.52,4.56,4.74,1.46,105.2,100.5,4.97,44.95
KT,19,144,5579,4962,4.51,1374,186,20,103,1909,615,104,44,476,51,15,974,113,45,45,0.277,0.344,0.385,0.728,0.336,102.1,568,2,1,144,71,71,37,59,1277.0,661,611,5533,9.05,0.82,3.34,0.12,0.42,5.89,6,0.35,4.31,4.51,1.4,96.8,91.6,4.59,36.27
KT,18,144,5605,5026,5.26,1382,264,13,206,2290,721,80,57,464,46,14,1109,103,43,26,0.275,0.34,0.456,0.796,0.343,94.2,631,4,1,144,59,82,24,45,1274.1,834,760,5743,10.97,1.35,2.84,0.17,0.58,7.12,1,0.44,5.37,5.31,1.56,98.7,97.9,5.79,31.880000000000003
KT,17,144,5484,4936,4.55,1360,274,17,119,2025,625,86,51,374,66,11,1017,118,62,45,0.276,0.332,0.41,0.742,0.328,84.3,588,4,2,144,50,94,22,41,1256.0,876,806,5702,10.58,1.21,3.01,0.08,0.66,6.34,6,0.53,5.78,5.32,1.56,87.8,93.8,6.08,22.86
KT,16,144,5620,4963,4.67,1369,214,11,116,1953,639,96,46,499,48,7,933,130,65,45,0.276,0.345,0.394,0.738,0.336,83.6,693,1,1,144,53,89,27,48,1273.0,927,839,5896,11.06,1.01,3.89,0.06,0.58,6.81,9,0.53,5.93,5.23,1.69,88.1,99.9,6.44,18.33
KT,15,144,5605,4927,4.65,1344,221,15,129,1982,633,124,52,507,58,21,1112,118,75,37,0.273,0.345,0.402,0.748,0.335,88.7,652,3,0,144,52,91,16,31,1266.2,875,782,5799,10.54,1.07,4.01,0.12,0.6,7.26,4,0.61,5.56,5.08,1.65,90.4,96.6,6.08,28.97
LG,23,144,5687,4881,5.33,1364,227,27,93,1924,714,166,102,583,73,16,804,89,94,55,0.279,0.361,0.394,0.755,0.349,114.4,737,0,0,144,86,56,37,92,1293.1,610,531,5619,8.79,0.51,3.41,0.1,0.53,6.78,5,0.33,3.7,3.96,1.36,110.5,103.4,4.24,48.34
LG,22,144,5627,4927,4.97,1325,208,33,118,1953,674,102,46,501,103,18,924,109,49,46,0.269,0.346,0.396,0.742,0.34,113.4,748,0,0,144,87,55,43,107,1288.0,520,476,5432,8.19,0.65,3.13,0.19,0.41,7.16,0,0.35,3.33,3.81,1.27,119.5,104.4,3.61,58.739999999999995
LG,21,144,5533,4750,4.54,1188,210,11,110,1750,622,92,34,593,93,16,926,102,52,45,0.25,0.342,0.368,0.71,0.334,99.4,697,0,0,144,72,58,32,81,1272.1,561,507,5453,7.82,0.56,3.78,0.12,0.68,7.42,5,0.31,3.59,3.95,1.31,120.3,110.0,3.9,47.72
